artist_mb,country_mb,listeners_lastfm,spotify_id
Coldplay,United Kingdom,5381567.0,4gzpq5DPGxSnKTe4SA8HAU
Radiohead,United Kingdom,4732528.0,4Z8W4fKeB5YxbusRsdQVPb
Red Hot Chili Peppers,United States,4620835.0,0L8ExT028jH3ddEcZwqJJ5
Rihanna,United States,4558193.0,5pKCCKE2ajJHZ9KAiaK11H
Eminem,United States,4517997.0,7dGJo4pcD2V6oG8kP0tJRR
The Killers,United States,4428868.0,0C0XlULifJtAgn6ZNCW2eu
Kanye West,United States,4390502.0,5K4W6rqBFWDnAN6FQUkS6x
Nirvana,United States,4272894.0,6olE6TJLqED3rqDCT0FyPh
Muse,United Kingdom,4089612.0,12Chz98pHFMPJEknJQMWvI
Queen,United Kingdom,4023379.0,1dfeR4HaWDbWqFHLkxsg1d
Foo Fighters,United States,4005236.0,7jy3rLJdDQY21OgRLCZ9sD
Linkin Park,United States,3978390.0,6XyY86QOPPrYVGvF9ch6wz
Lady Gaga,United States,3820581.0,1HY2Jd0NmPuamShAr6KMms
The Rolling Stones,United Kingdom,3798330.0,22bE4uQ6baNwSHPVcDxLCe
Daft Punk,France,3782404.0,4tZwfgrHOc3mvqYlEYSvVi
Green Day,United States,3738772.0,7oPftvlwr6VrsViSDV7fJY
Katy Perry,United States,3733134.0,6jJ0s89eD6GaHleKKya26X
The Beatles,United Kingdom,3674017.0,3WrFJ7ztbogyGnTHbHJFl2
Oasis,United Kingdom,3592076.0,2DaxqgrOhkeH0fpeiQq2f4
Gorillaz,United Kingdom,3577998.0,3AA28KZvwAUcZuOKwyblJQ
Beyoncé,United States,3554615.0,6vWDO969PvNqNYHIOW5v0m
Michael Jackson,United States,3546966.0,3fMbdgg4jU18AjLCKBhRSm
Maroon 5,United States,3507447.0,04gDigrS5kc9YWfZHwBETP
Arctic Monkeys,United Kingdom,3501680.0,7Ln80lUS6He07XvHI8qqHH
System of a Down,United States,3497648.0,5eAWCfyUhZtHHtBdNk56l1
U2,Ireland,3487345.0,51Blml2LZPmy7TTiAg47vQ
Kings of Leon,United States,3437638.0,2qk9voo8llSGYcZ6xrBzKx
Drake,Canada,3379644.0,3TVXtAsR1Inumwj472S9r4
David Bowie,United Kingdom,3354711.0,0oSGxfWSnnOXhD2fKuz2Gy
The Black Eyed Peas,United States,3346410.0,1yxSLGMDHlW21z4YXirZDS
The Strokes,United States,3262563.0,0epOFNiUfyON9EYx7Tpr6V
Britney Spears,United States,3255085.0,26dSoYclwsYLMAKD3tpOr4
Guns N’ Roses,United States,3241492.0,3qm84nBOXUEQ2vnTfUTTFC
Franz Ferdinand,United Kingdom,3203026.0,0XNa1vTidXlvJ2gHSsRi4A
The Doors,United States,3189868.0,22WZ7M8sxp5THdruNY3gXt
JAY-Z,United States,3169635.0,3nFkdlSjzX9mRTtwJOzDYB
Madonna,United States,3102727.0,6tbjWDEIzxoDsBA1FuhfPW
Pink Floyd,United Kingdom,3081313.0,0k17h0D3J5VfsdmQ1iZtE9
Weezer,United States,3050491.0,3jOstUTkEu2JkjvRdBA5Gu
Snow Patrol,United Kingdom,2982390.0,3rIZMv9rysU7JkLzEaC5Jp
blink‐182,United States,2976416.0,6FBDaR13swtiWwGhX1WQsP
The White Stripes,United States,2956612.0,4F84IBURUo98rz4r61KF70
The Cure,United Kingdom,2932819.0,7bu3H8JO7d0UbMoVzbo70s
Led Zeppelin,United Kingdom,2930957.0,36QJpDe2go2KgaRleHCDTp
Beck,United States,2918241.0,4obzFoKoKRHIphyHzJ35G3
Aerosmith,United States,2904687.0,7Ey4PD4MYsKc5I2dolUwbH
The Offspring,United States,2900065.0,5LfGQac0EIXyAN8aUwmNAQ
Metallica,United States,2894382.0,2ye2Wgw4gimLv2eAKyk1NB
R.E.M.,United States,2886482.0,4KWTAlx2RvbpseOGMEmROg
Blur,United Kingdom,2872022.0,7MhMgCo0Bl0Kukl93PZbYS
